"artist_id";"artist_name";"artist_followers";"artist_popularity";"n_genres";"total_releases";"n_album";"n_single";"n_appears_on";"n_compilation"
"1Xyo4u8uXC1ZmMpatF05PJ";"The Weeknd";14952271;89;4;123;13;20;90;0
"69GGBxA162lTqCwzJG5jLp";"The Chainsmokers";11297782;88;5;94;2;57;35;0
"540vIaP2JwjQb9dm3aArA4";"DJ Snake";4199211;85;5;81;2;36;43;0
"6MDME20pz9RveH9rEXvrOM";"Clean Bandit";2409222;83;6;95;2;71;22;0
"3TVXtAsR1Inumwj472S9r4";"Drake";34406680;98;5;404;27;37;340;0
"0du5cEVh5yTK9QJze8zA0C";"Bruno Mars";20130701;90;3;73;4;18;51;0
"04gDigrS5kc9YWfZHwBETP";"Maroon 5";16760908;88;1;118;20;34;63;1
"7iZtZyCzp3LItcw1wtPI3D";"Rae Sremmurd";4636793;80;6;67;6;13;48;0
"0EmeFodog0BfCgMzAIvKQp";"Shakira";15610747;83;6;83;14;17;52;0
"5ZsFI1h6hIdQRw2ti0hz81";"ZAYN";7146089;83;3;30;5;8;17;0
"4IWBUUAFIplrNtaOHcJPRM";"James Arthur";3600153;84;4;54;3;30;21;0
"6oMuImdp5ZcFhWP0ESe6mG";"Migos";8505296;87;5;305;17;52;236;0
"738wLrAtLtCtFOLvQBXOXp";"Major Lazer";5217708;80;7;161;10;51;100;0
"60d24wfXkVzDSfLS6hyCjZ";"Martin Garrix";9250282;85;5;98;0;71;27;0
"66CXWjxzNUsdJxJ2JdwvnR";"Ariana Grande";25969099;100;3;139;11;19;109;0
"02A3cEvlLLCbIMVDrK2GHV";"Starley";57026;65;2;19;0;18;1;0
"31TPClRtHm23RisEBtV3X7";"Justin Timberlake";7734204;82;3;128;7;21;100;0
"7n2wHs1TKAczGzO7Dd2rGr";"Shawn Mendes";15363437;89;5;63;8;17;38;0
"77AiFEVeAVj2ORpC85QVJs";"Steve Aoki";2977856;81;6;296;11;141;144;0
"7CajNmpbOovFoOoasH2HaY";"Calvin Harris";15729747;90;5;171;6;57;108;0
"5p7f24Rk5HkUZsaS3BLG5F";"Hailee Steinfeld";3783313;82;3;60;0;10;50;0
