"hours"	"group"	"index"
18	"A"	1
13	"A"	2
3	"A"	3
13	"A"	4
20	"A"	5
18	"A"	6
18	"A"	7
10	"A"	8
11	"A"	9
20	"A"	10
23	"A"	11
14	"A"	12
25	"A"	13
16	"A"	14
14	"A"	15
14	"A"	16
22	"A"	17
23	"A"	18
20	"A"	19
15	"A"	20
19	"A"	21
16	"A"	22
15	"A"	23
15	"A"	24
6	"A"	25
12	"A"	26
12	"A"	27
15	"A"	28
11	"A"	29
10	"A"	30
14	"A"	31
5	"A"	32
13	"A"	33
12	"A"	34
22	"A"	35
16	"A"	36
7	"A"	37
20	"A"	38
13	"A"	39
21	"A"	40
13	"A"	41
13	"A"	42
12	"A"	43
5	"A"	44
17	"A"	45
18	"A"	46
12	"A"	47
8	"A"	48
5	"A"	49
18	"A"	50
18	"A"	51
19	"A"	52
12	"A"	53
11	"A"	54
13	"A"	55
16	"A"	56
5	"A"	57
17	"A"	58
9	"A"	59
8	"A"	60
11	"A"	61
12	"A"	62
13	"A"	63
10	"A"	64
15	"A"	65
16	"A"	66
22	"A"	67
10	"A"	68
16	"A"	69
18	"A"	70
12	"A"	71
22	"A"	72
13	"A"	73
14	"A"	74
10	"A"	75
9	"A"	76
9	"A"	77
11	"A"	78
17	"A"	79
17	"A"	80
16	"A"	81
14	"A"	82
16	"A"	83
14	"A"	84
19	"A"	85
24	"A"	86
17	"A"	87
12	"A"	88
12	"A"	89
17	"A"	90
14	"A"	91
20	"A"	92
10	"A"	93
13	"A"	94
12	"A"	95
20	"A"	96
9	"A"	97
16	"A"	98
12	"A"	99
17	"A"	100
26	"B"	1
32	"B"	2
29	"B"	3
31	"B"	4
13	"B"	5
31	"B"	6
26	"B"	7
21	"B"	8
31	"B"	9
24	"B"	10
13	"B"	11
21	"B"	12
31	"B"	13
21	"B"	14
28	"B"	15
39	"B"	16
22	"B"	17
27	"B"	18
28	"B"	19
19	"B"	20
20	"B"	21
20	"B"	22
26	"B"	23
26	"B"	24
12	"B"	25
25	"B"	26
23	"B"	27
24	"B"	28
24	"B"	29
22	"B"	30
16	"B"	31
14	"B"	32
29	"B"	33
32	"B"	34
29	"B"	35
20	"B"	36
32	"B"	37
34	"B"	38
27	"B"	39
26	"B"	40
20	"B"	41
23	"B"	42
42	"B"	43
19	"B"	44
26	"B"	45
32	"B"	46
29	"B"	47
22	"B"	48
25	"B"	49
24	"B"	50
28	"B"	51
38	"B"	52
26	"B"	53
16	"B"	54
21	"B"	55
27	"B"	56
24	"B"	57
28	"B"	58
28	"B"	59
24	"B"	60
32	"B"	61
25	"B"	62
18	"B"	63
29	"B"	64
25	"B"	65
20	"B"	66
18	"B"	67
28	"B"	68
27	"B"	69
32	"B"	70
22	"B"	71
21	"B"	72
28	"B"	73
30	"B"	74
30	"B"	75
12	"B"	76
21	"B"	77
23	"B"	78
22	"B"	79
17	"B"	80
29	"B"	81
29	"B"	82
22	"B"	83
12	"B"	84
23	"B"	85
32	"B"	86
21	"B"	87
18	"B"	88
27	"B"	89
31	"B"	90
23	"B"	91
21	"B"	92
27	"B"	93
17	"B"	94
21	"B"	95
22	"B"	96
25	"B"	97
28	"B"	98
27	"B"	99
19	"B"	100
34	"C"	1
34	"C"	2
32	"C"	3
25	"C"	4
35	"C"	5
20	"C"	6
30	"C"	7
33	"C"	8
31	"C"	9
42	"C"	10
40	"C"	11
44	"C"	12
39	"C"	13
33	"C"	14
27	"C"	15
48	"C"	16
32	"C"	17
35	"C"	18
32	"C"	19
35	"C"	20
44	"C"	21
32	"C"	22
39	"C"	23
35	"C"	24
42	"C"	25
29	"C"	26
45	"C"	27
27	"C"	28
35	"C"	29
38	"C"	30
44	"C"	31
39	"C"	32
38	"C"	33
44	"C"	34
17	"C"	35
38	"C"	36
34	"C"	37
31	"C"	38
29	"C"	39
46	"C"	40
36	"C"	41
32	"C"	42
35	"C"	43
30	"C"	44
27	"C"	45
44	"C"	46
40	"C"	47
31	"C"	48
21	"C"	49
29	"C"	50
29	"C"	51
32	"C"	52
33	"C"	53
28	"C"	54
44	"C"	55
37	"C"	56
33	"C"	57
45	"C"	58
41	"C"	59
33	"C"	60
31	"C"	61
42	"C"	62
31	"C"	63
25	"C"	64
43	"C"	65
38	"C"	66
40	"C"	67
36	"C"	68
25	"C"	69
30	"C"	70
36	"C"	71
46	"C"	72
33	"C"	73
39	"C"	74
40	"C"	75
31	"C"	76
39	"C"	77
43	"C"	78
36	"C"	79
37	"C"	80
46	"C"	81
28	"C"	82
30	"C"	83
31	"C"	84
32	"C"	85
31	"C"	86
29	"C"	87
50	"C"	88
37	"C"	89
32	"C"	90
41	"C"	91
36	"C"	92
33	"C"	93
40	"C"	94
25	"C"	95
38	"C"	96
31	"C"	97
28	"C"	98
39	"C"	99
34	"C"	100
